step,train_loss,val_loss,lr,grad_norm
14800,0.169847,,1.00e-04,0.2783
14900,0.142996,,1.00e-04,0.3226
15000,0.220157,,1.00e-04,0.3557
15100,0.173187,,1.00e-04,0.3576
15200,0.170526,,1.00e-04,0.3975
15300,0.168945,,1.00e-04,0.3304
15400,0.159186,,1.00e-04,0.3183
15500,0.153232,,1.00e-04,0.3223
15600,0.197729,,1.00e-04,0.3446
15700,0.173832,,1.00e-04,0.3614
15800,0.132264,,1.00e-04,0.3417
15900,0.147733,,1.00e-04,0.3076
16000,0.132571,,1.00e-04,0.2855
16000,,0.153353,,
16100,0.144301,,1.00e-04,0.2861
16200,0.119116,,1.00e-04,0.3732
16300,0.172048,,1.00e-04,0.3123
16400,0.150760,,1.00e-04,0.3919
16500,0.152304,,1.00e-04,0.3545
16600,0.152480,,1.00e-04,0.2897
16700,0.168267,,1.00e-04,0.4186
16800,0.107921,,1.00e-04,0.3382
16900,0.185152,,1.00e-04,0.3679
17000,0.163654,,1.00e-04,0.3905
17100,0.161522,,1.00e-04,0.2761
17200,0.128599,,1.00e-04,0.3016
17300,0.149886,,1.00e-04,0.3124
17400,0.152493,,1.00e-04,0.2868
17500,0.122683,,1.00e-04,0.2674
17600,0.144375,,1.00e-04,0.3142
17700,0.150485,,1.00e-04,0.3323
17800,0.131177,,1.00e-04,0.3385
17900,0.149939,,1.00e-04,0.2975
18000,0.136190,,1.00e-04,0.3008
18000,,0.145915,,
18100,0.143450,,1.00e-04,0.3680
18200,0.145606,,1.00e-04,0.2746
18300,0.158587,,1.00e-04,0.4035
18400,0.133062,,1.00e-04,0.2964
18500,0.149476,,1.00e-04,0.3839
18600,0.107659,,1.00e-04,0.2778
18700,0.146330,,1.00e-04,0.2862
18800,0.154996,,1.00e-04,0.3469
18900,0.163222,,1.00e-04,0.3067
19000,0.144827,,1.00e-04,0.3408
19100,0.139073,,1.00e-04,0.3182
19200,0.120109,,1.00e-04,0.2760
19300,0.191665,,1.00e-04,0.3229
19400,0.158141,,1.00e-04,0.3104
19500,0.141428,,1.00e-04,0.3101
19600,0.183917,,1.00e-04,0.3575
19700,0.111427,,1.00e-04,0.3255
19800,0.155373,,1.00e-04,0.3066
19900,0.116454,,1.00e-04,0.3428
20000,0.140833,,1.00e-04,0.2785
20000,,0.154415,,
20100,0.211347,,1.00e-04,0.3018
20200,0.133899,,1.00e-04,0.3170
20300,0.140474,,1.00e-04,0.3456
20400,0.130929,,1.00e-04,0.3021
20500,0.163792,,1.00e-04,0.2831
20600,0.145791,,1.00e-04,0.3285
20700,0.151247,,1.00e-04,0.2943
20800,0.117671,,1.00e-04,0.3747
20900,0.121763,,1.00e-04,0.3205
21000,0.128317,,1.00e-04,0.3026
21100,0.178266,,1.00e-04,0.3496
21200,0.130311,,1.00e-04,0.3349
21300,0.114201,,1.00e-04,0.3068
21400,0.137571,,1.00e-04,0.4082
21500,0.189757,,1.00e-04,0.2861
21600,0.142108,,1.00e-04,0.3445
21700,0.132877,,1.00e-04,0.2986
21800,0.199785,,1.00e-04,0.3739
21900,0.151318,,1.00e-04,0.3402
22000,0.144371,,1.00e-04,0.3172
22000,,0.136526,,
22100,0.150997,,1.00e-04,0.3571
22200,0.117428,,1.00e-04,0.3748
22300,0.193742,,1.00e-04,0.4258
22400,0.192467,,1.00e-04,0.2985
22500,0.122887,,1.00e-04,0.2833
22600,0.145209,,1.00e-04,0.4052
22700,0.177957,,1.00e-04,0.3133
22800,0.153391,,1.00e-04,0.3516
22900,0.154566,,1.00e-04,0.3470
23000,0.132435,,1.00e-04,0.2850
23100,0.129148,,1.00e-04,0.3521
23200,0.157887,,1.00e-04,0.3717
23300,0.155049,,1.00e-04,0.2635
23400,0.107247,,1.00e-04,0.3140
23500,0.128462,,1.00e-04,0.3237
23600,0.128594,,1.00e-04,0.3027
23700,0.128946,,1.00e-04,0.3206
23800,0.126300,,1.00e-04,0.2831
23900,0.171335,,1.00e-04,0.2737
24000,0.181857,,1.00e-04,0.2977
24000,,0.151993,,
24100,0.128926,,1.00e-04,0.3340
24200,0.164613,,1.00e-04,0.3251
24300,0.172535,,1.00e-04,0.3031
24400,0.136756,,1.00e-04,0.2602
24500,0.124854,,1.00e-04,0.2861
24600,0.126446,,1.00e-04,0.2632
24700,0.146669,,1.00e-04,0.3370
24800,0.151943,,1.00e-04,0.3761
24900,0.174954,,1.00e-04,0.2780
25000,0.176688,,1.00e-04,0.2963
25100,0.113512,,1.00e-04,0.2959
25200,0.124374,,1.00e-04,0.3011
25300,0.123870,,1.00e-04,0.2745
25400,0.167099,,1.00e-04,0.3005
25500,0.159724,,1.00e-04,0.3084
25600,0.188557,,1.00e-04,0.2709
25700,0.112921,,1.00e-04,0.2631
25800,0.106405,,1.00e-04,0.2838
25900,0.120813,,1.00e-04,0.4020
26000,0.184589,,1.00e-04,0.3104
26000,,0.142336,,
26100,0.132506,,1.00e-04,0.3055
26200,0.184022,,1.00e-04,0.3435
26300,0.144051,,1.00e-04,0.2646
26400,0.134054,,1.00e-04,0.2842
26500,0.142438,,1.00e-04,0.2943
26600,0.116827,,1.00e-04,0.3817
26700,0.160599,,1.00e-04,0.2987
26800,0.142117,,1.00e-04,0.2704
26900,0.144367,,1.00e-04,0.3299
27000,0.121082,,1.00e-04,0.3076
27100,0.110808,,1.00e-04,0.3177
27200,0.113018,,1.00e-04,0.3304
27300,0.119781,,1.00e-04,0.2901
27400,0.115527,,1.00e-04,0.3167
27500,0.137853,,1.00e-04,0.3259
27600,0.099131,,1.00e-04,0.3003
27700,0.144687,,1.00e-04,0.3010
27800,0.114358,,1.00e-04,0.3688
27900,0.122439,,1.00e-04,0.3010
28000,0.147212,,1.00e-04,0.3156
28000,,0.140892,,
28100,0.167777,,1.00e-04,0.2912
28200,0.142627,,1.00e-04,0.3706
28300,0.130468,,1.00e-04,0.3026
28400,0.171095,,1.00e-04,0.3742
28500,0.173268,,1.00e-04,0.2995
28600,0.144260,,1.00e-04,0.3213
28700,0.147818,,1.00e-04,0.3300
28800,0.125987,,1.00e-04,0.3260
28900,0.145765,,1.00e-04,0.2474
29000,0.121267,,1.00e-04,0.2963
29100,0.130024,,1.00e-04,0.2998
29200,0.166482,,1.00e-04,0.3245
29300,0.112292,,1.00e-04,0.3940
29400,0.142874,,1.00e-04,0.3148
29500,0.117928,,1.00e-04,0.3420
29600,0.148205,,1.00e-04,0.3717
29700,0.126636,,1.00e-04,0.3402
29800,0.163589,,1.00e-04,0.2896
29900,0.144351,,1.00e-04,0.2919
30000,0.138195,,1.00e-04,0.2866
30000,,0.145293,,
30100,0.118253,,1.00e-04,0.3122
30200,0.109724,,1.00e-04,0.3181
30300,0.105710,,1.00e-04,0.2693
30400,0.105369,,1.00e-04,0.3373
30500,0.151462,,1.00e-04,0.3663
30600,0.107311,,1.00e-04,0.3055
30700,0.110091,,1.00e-04,0.3151
30800,0.110931,,1.00e-04,0.3265
30900,0.115932,,1.00e-04,0.3297
31000,0.129196,,1.00e-04,0.3085
31100,0.114508,,1.00e-04,0.2886
31200,0.122300,,1.00e-04,0.3152
31300,0.149577,,1.00e-04,0.3414
31400,0.098321,,1.00e-04,0.3323
31500,0.118054,,1.00e-04,0.3132
31600,0.151558,,1.00e-04,0.3210
31700,0.124188,,1.00e-04,0.2510
31800,0.100750,,1.00e-04,0.4122
31900,0.132202,,1.00e-04,0.3192
32000,0.144101,,1.00e-04,0.2888
32000,,0.144447,,
32100,0.130598,,1.00e-04,0.2881
32200,0.139270,,1.00e-04,0.2840
32300,0.128974,,1.00e-04,0.3215
32400,0.155237,,1.00e-04,0.3014
32500,0.112444,,1.00e-04,0.3479
32600,0.123362,,1.00e-04,0.2742
32700,0.128996,,1.00e-04,0.3499
32800,0.161211,,1.00e-04,0.3561
32900,0.138014,,1.00e-04,0.2661
33000,0.129737,,1.00e-04,0.3176
33100,0.159769,,1.00e-04,0.3020
33200,0.130285,,1.00e-04,0.3347
33300,0.116281,,1.00e-04,0.3532
33400,0.123237,,1.00e-04,0.3041
33500,0.134533,,1.00e-04,0.2982
33600,0.133229,,1.00e-04,0.3712
33700,0.115597,,1.00e-04,0.2699
33800,0.102147,,1.00e-04,0.3445
33900,0.140076,,1.00e-04,0.3165
34000,0.171854,,1.00e-04,0.2769
34000,,0.145126,,
34100,0.128164,,1.00e-04,0.3239
34200,0.158421,,1.00e-04,0.3520
34300,0.139861,,1.00e-04,0.3363
34400,0.108363,,1.00e-04,0.2949
