artist,album,song,url,notes
Yoni Rechter,Yoni Rechter,boi,https://www.youtube.com/watch?v=JmtKwXT6Cgw,
Yoni Rechter,Single,shir erev,https://www.youtube.com/watch?v=TJOS6IXDDIQ,
Yoni Rechter,Single,kvar achshav,https://www.youtube.com/watch?v=Jz6oOXpYZ1c,
Yoni Rechter,Single,haikar ze haromantika,https://www.youtube.com/watch?v=K66BQGaFpYs,
Yoni Rechter,Single,at shira,https://www.youtube.com/watch?v=7gSNfdEiTB4,
Yoni Rechter,Single,yeladim ze simcha,https://www.youtube.com/watch?v=DKVbonYCt-8,
Gidi Gov,Ein Od Yom,ein od yom,https://www.youtube.com/watch?v=H8PL2CmM9rg,
Gidi Gov,Single,naara bemishkafayim,https://www.youtube.com/watch?v=Cz3Nw2G3tqI,
Gidi Gov,Single,ani shuv mitahav,https://www.youtube.com/watch?v=qoGurrdtz6Q,
Gidi Gov,Single,shalal sharav,https://www.youtube.com/watch?v=ojBKxaVL5Fw,
Gidi Gov,Single,kol ma sheyesh li,https://www.youtube.com/watch?v=yHiblZ6N1wA,
Gidi Gov,Single,galbi,https://www.youtube.com/watch?v=GcNSj1c5t0o,
Meir Ariel,Yaldei Teva,geshem,https://www.youtube.com/watch?v=WvzitKFHh-w,
Meir Ariel,Single,neshika,https://www.youtube.com/watch?v=GI4GsYyofas,
Meir Ariel,Shirey Chag Umoed Venofel,terminal luminalt,https://www.youtube.com/watch?v=GME1UyUpMPU,
Meir Ariel,Single,modeh ani,https://www.youtube.com/watch?v=GI4GsYyofas,
Meir Ariel,Single,zar hayiti gam ani,https://www.youtube.com/watch?v=pcVoUMi70k0,
Meir Ariel,Shirey Chag Umoed Venofel,shir kaev,https://www.youtube.com/watch?v=3Tesymr5OpU,
Meir Ariel,Single,agadat deshe,https://www.youtube.com/watch?v=kVb5dfa9-N4,
Shlomo Artzi,Pitom Achshav Pitom Hayom,pitom achshav pitom hayom,https://www.youtube.com/watch?v=ogYPjiGDQiQ,
Shlomo Artzi,Ahavtia,ahavtia,https://www.youtube.com/watch?v=19qoWmBJVRc,
Shlomo Artzi,Single,achrei hakol at shir,https://www.youtube.com/watch?v=P4KnqxpoKkM,
Shlomo Artzi,Yareach,yareach,https://www.youtube.com/watch?v=hGiNUsSHkr0,
Shlomo Artzi,Tirkod,nivreti lach,https://www.youtube.com/watch?v=QD8pkh2tVd4,
Shlomo Artzi,Gever Holech Le'ibud,haish hahu,https://www.youtube.com/watch?v=IRlqa0C5Cy0,
Shlomo Artzi,Yareach,ze ma shenishar,https://www.youtube.com/watch?v=2zk_cTSeLUk,
Shlomo Artzi,Tirkod,tirkod,https://www.youtube.com/watch?v=hObDThhR5CY,
Corinne Allal,Zan Nadir,ein li eretz acheret,https://www.youtube.com/watch?v=5rlHA21a05c,
Yehuda Poliker,Simanim Shel Derech,od lo ahavti dai,https://www.youtube.com/watch?v=YZdv_kgvuL4,
Yehuda Poliker,Efer Veavak,efer veavak,https://www.youtube.com/watch?v=1FwSKM_GlkE,
Yehuda Poliker,Single,prachim bakaneh,https://www.youtube.com/watch?v=P3OZueh06WM,
Yehoram Gaon,Single,shir ahava yashan,https://www.youtube.com/watch?v=CIV2lc_DmX0,
Yehoram Gaon,Kazablan,kol hakavod,https://www.youtube.com/watch?v=sXv5iHhs_Lc,
Esther Ofarim,Hayu Leilot,hayu leilot,https://www.youtube.com/watch?v=neZHpWExqwQ,
Chava Alberstein,Lu Yehi,lu yehi,https://www.youtube.com/watch?v=c6zN9U7mxrM,
