step,train_loss,val_loss,lr,grad_norm
14600,0.132800,,1.00e-04,0.2543
14700,0.128428,,1.00e-04,0.3224
14800,0.109130,,1.00e-04,0.3237
14900,0.163085,,1.00e-04,0.3544
15000,0.154617,,1.00e-04,0.2848
15100,0.139197,,1.00e-04,0.2930
15200,0.166241,,1.00e-04,0.3182
15300,0.133916,,1.00e-04,0.2788
15400,0.162950,,1.00e-04,0.3477
15500,0.145130,,1.00e-04,0.3070
15600,0.157390,,1.00e-04,0.2683
15700,0.136227,,1.00e-04,0.2852
15800,0.144471,,1.00e-04,0.3059
15900,0.184487,,1.00e-04,0.2707
16000,0.125899,,1.00e-04,0.3473
16000,,0.152514,,
16100,0.131154,,1.00e-04,0.2902
16200,0.125396,,1.00e-04,0.3596
16300,0.126810,,1.00e-04,0.2869
16400,0.140357,,1.00e-04,0.3136
16500,0.161929,,1.00e-04,0.2493
16600,0.123389,,1.00e-04,0.2525
16700,0.185896,,1.00e-04,0.2859
16800,0.129487,,1.00e-04,0.3989
16900,0.194685,,1.00e-04,0.2276
17000,0.148715,,1.00e-04,0.2775
17100,0.156318,,1.00e-04,0.2913
17200,0.142446,,1.00e-04,0.2937
17300,0.135051,,1.00e-04,0.2746
17400,0.134177,,1.00e-04,0.2779
17500,0.110788,,1.00e-04,0.2556
17600,0.123780,,1.00e-04,0.3301
17700,0.154618,,1.00e-04,0.2739
17800,0.145933,,1.00e-04,0.2631
17900,0.115006,,1.00e-04,0.3126
18000,0.127245,,1.00e-04,0.2566
18000,,0.150611,,
18100,0.155383,,1.00e-04,0.2656
18200,0.116240,,1.00e-04,0.2693
18300,0.144474,,1.00e-04,0.2539
18400,0.123762,,1.00e-04,0.3932
18500,0.133378,,1.00e-04,0.2654
18600,0.138453,,1.00e-04,0.2602
18700,0.116255,,1.00e-04,0.2972
18800,0.146183,,1.00e-04,0.2549
18900,0.127419,,1.00e-04,0.2707
19000,0.180598,,1.00e-04,0.2657
19100,0.133884,,1.00e-04,0.2922
19200,0.158768,,1.00e-04,0.2996
19300,0.116713,,1.00e-04,0.3067
19400,0.106831,,1.00e-04,0.3376
19500,0.122745,,1.00e-04,0.2898
19600,0.173558,,1.00e-04,0.3343
19700,0.139799,,1.00e-04,0.3043
19800,0.126556,,1.00e-04,0.2988
19900,0.147893,,1.00e-04,0.2497
20000,0.161639,,1.00e-04,0.3170
20000,,0.142529,,
20100,0.152107,,1.00e-04,0.2830
20200,0.131282,,1.00e-04,0.3248
20300,0.129118,,1.00e-04,0.2533
20400,0.147273,,1.00e-04,0.2493
20500,0.115712,,1.00e-04,0.3147
20600,0.129238,,1.00e-04,0.3392
20700,0.168292,,1.00e-04,0.2841
20800,0.146187,,1.00e-04,0.2984
20900,0.122898,,1.00e-04,0.3210
21000,0.122144,,1.00e-04,0.2741
21100,0.152997,,1.00e-04,0.2842
21200,0.139771,,1.00e-04,0.3195
21300,0.163110,,1.00e-04,0.2695
21400,0.135197,,1.00e-04,0.2489
21500,0.111312,,1.00e-04,0.3496
21600,0.106542,,1.00e-04,0.3105
21700,0.173224,,1.00e-04,0.2855
21800,0.138296,,1.00e-04,0.2844
21900,0.166422,,1.00e-04,0.2773
22000,0.128938,,1.00e-04,0.2892
22000,,0.143877,,
22100,0.106530,,1.00e-04,0.3533
22200,0.135421,,1.00e-04,0.2837
22300,0.134067,,1.00e-04,0.3323
22400,0.202429,,1.00e-04,0.2915
22500,0.141847,,1.00e-04,0.2573
22600,0.150049,,1.00e-04,0.2847
22700,0.148598,,1.00e-04,0.2450
22800,0.172385,,1.00e-04,0.2792
22900,0.177334,,1.00e-04,0.2692
23000,0.170375,,1.00e-04,0.2490
23100,0.121752,,1.00e-04,0.3373
23200,0.099523,,1.00e-04,0.3459
23300,0.140483,,1.00e-04,0.3351
23400,0.143968,,1.00e-04,0.3726
23500,0.158265,,1.00e-04,0.3122
23600,0.124802,,1.00e-04,0.2722
23700,0.160056,,1.00e-04,0.2667
23800,0.126587,,1.00e-04,0.3617
23900,0.150826,,1.00e-04,0.2985
24000,0.162965,,1.00e-04,0.2636
24000,,0.145935,,
24100,0.154483,,1.00e-04,0.2698
24200,0.132113,,1.00e-04,0.3031
24300,0.144575,,1.00e-04,0.3129
24400,0.141891,,1.00e-04,0.3051
24500,0.107525,,1.00e-04,0.2758
24600,0.123161,,1.00e-04,0.2797
24700,0.141455,,1.00e-04,0.2976
24800,0.118159,,1.00e-04,0.3294
24900,0.126575,,1.00e-04,0.2902
25000,0.102234,,1.00e-04,0.3545
25100,0.141814,,1.00e-04,0.3066
25200,0.141327,,1.00e-04,0.3153
25300,0.132891,,1.00e-04,0.3493
25400,0.137479,,1.00e-04,0.3051
25500,0.114534,,1.00e-04,0.3495
25600,0.123459,,1.00e-04,0.3055
25700,0.122086,,1.00e-04,0.2991
25800,0.162229,,1.00e-04,0.2999
25900,0.127308,,1.00e-04,0.2731
26000,0.148938,,1.00e-04,0.3113
26000,,0.145023,,
26100,0.123861,,1.00e-04,0.3326
26200,0.138740,,1.00e-04,0.2534
26300,0.174407,,1.00e-04,0.2279
26400,0.144137,,1.00e-04,0.3071
26500,0.110307,,1.00e-04,0.2774
26600,0.145874,,1.00e-04,0.3298
26700,0.159337,,1.00e-04,0.2674
26800,0.123013,,1.00e-04,0.2488
26900,0.123286,,1.00e-04,0.3716
27000,0.160863,,1.00e-04,0.2947
27100,0.139738,,1.00e-04,0.3601
27200,0.121454,,1.00e-04,0.3255
27300,0.161828,,1.00e-04,0.2668
27400,0.133256,,1.00e-04,0.2337
27500,0.117717,,1.00e-04,0.3333
27600,0.137057,,1.00e-04,0.3335
27700,0.143164,,1.00e-04,0.2882
27800,0.125016,,1.00e-04,0.3122
27900,0.139885,,1.00e-04,0.3578
28000,0.119299,,1.00e-04,0.3109
28000,,0.143993,,
28100,0.139280,,1.00e-04,0.3092
28200,0.147106,,1.00e-04,0.2914
28300,0.107121,,1.00e-04,0.3370
28400,0.078253,,1.00e-04,0.3385
28500,0.179018,,1.00e-04,0.2706
28600,0.129579,,1.00e-04,0.3827
28700,0.116153,,1.00e-04,0.3180
28800,0.148977,,1.00e-04,0.3093
28900,0.132253,,1.00e-04,0.3107
29000,0.166552,,1.00e-04,0.2916
29100,0.163577,,1.00e-04,0.2764
29200,0.139496,,1.00e-04,0.3490
29300,0.140813,,1.00e-04,0.3141
29400,0.133427,,1.00e-04,0.3120
29500,0.144334,,1.00e-04,0.3299
29600,0.122694,,1.00e-04,0.3385
29700,0.099997,,1.00e-04,0.3483
29800,0.159282,,1.00e-04,0.3811
29900,0.142981,,1.00e-04,0.3387
30000,0.119856,,1.00e-04,0.3230
30000,,0.137968,,
30100,0.160312,,1.00e-04,0.2857
30200,0.189346,,1.00e-04,0.2846
30300,0.164148,,1.00e-04,0.2786
30400,0.122944,,1.00e-04,0.3309
30500,0.157163,,1.00e-04,0.3032
30600,0.120379,,1.00e-04,0.3028
30700,0.148765,,1.00e-04,0.2682
