step,train_loss,val_loss,lr,grad_norm
14800,0.163933,,1.00e-04,0.3708
14900,0.138317,,1.00e-04,0.3130
15000,0.123409,,1.00e-04,0.3033
15100,0.138029,,1.00e-04,0.3094
15200,0.122527,,1.00e-04,0.2984
15300,0.153502,,1.00e-04,0.3071
15400,0.169753,,1.00e-04,0.2796
15500,0.098143,,1.00e-04,0.3220
15600,0.147681,,1.00e-04,0.2609
15700,0.152198,,1.00e-04,0.2863
15800,0.174904,,1.00e-04,0.2805
15900,0.156281,,1.00e-04,0.2811
16000,0.142352,,1.00e-04,0.3094
16000,,0.146929,,
16100,0.126393,,1.00e-04,0.3202
16200,0.124742,,1.00e-04,0.2880
16300,0.128978,,1.00e-04,0.2772
16400,0.144961,,1.00e-04,0.2984
16500,0.187042,,1.00e-04,0.3077
16600,0.183436,,1.00e-04,0.3153
16700,0.154648,,1.00e-04,0.2789
16800,0.177175,,1.00e-04,0.2415
16900,0.148383,,1.00e-04,0.2900
17000,0.143058,,1.00e-04,0.2675
17100,0.142959,,1.00e-04,0.2951
17200,0.175910,,1.00e-04,0.2532
17300,0.159744,,1.00e-04,0.3380
17400,0.133017,,1.00e-04,0.3241
17500,0.117651,,1.00e-04,0.3416
17600,0.169161,,1.00e-04,0.2751
17700,0.167915,,1.00e-04,0.3438
17800,0.158614,,1.00e-04,0.2419
17900,0.136467,,1.00e-04,0.3275
18000,0.164206,,1.00e-04,0.2278
18000,,0.152092,,
18100,0.116033,,1.00e-04,0.3382
18200,0.129362,,1.00e-04,0.3501
18300,0.143016,,1.00e-04,0.3217
18400,0.108731,,1.00e-04,0.2864
18500,0.172258,,1.00e-04,0.2802
18600,0.148012,,1.00e-04,0.2745
18700,0.154625,,1.00e-04,0.2562
18800,0.151531,,1.00e-04,0.2738
18900,0.168987,,1.00e-04,0.3354
19000,0.138966,,1.00e-04,0.2645
19100,0.130069,,1.00e-04,0.2670
19200,0.179977,,1.00e-04,0.2753
19300,0.121639,,1.00e-04,0.3235
19400,0.128912,,1.00e-04,0.2735
19500,0.128774,,1.00e-04,0.3464
19600,0.118996,,1.00e-04,0.2938
19700,0.166694,,1.00e-04,0.2950
19800,0.165213,,1.00e-04,0.2403
19900,0.142297,,1.00e-04,0.2852
20000,0.159539,,1.00e-04,0.3314
20000,,0.155898,,
20100,0.135977,,1.00e-04,0.3522
20200,0.190835,,1.00e-04,0.2535
20300,0.136741,,1.00e-04,0.3475
20400,0.151492,,1.00e-04,0.2816
20500,0.123065,,1.00e-04,0.3075
20600,0.168257,,1.00e-04,0.2796
20700,0.160588,,1.00e-04,0.2898
20800,0.137898,,1.00e-04,0.2652
20900,0.156075,,1.00e-04,0.2896
21000,0.112264,,1.00e-04,0.3273
21100,0.138162,,1.00e-04,0.2853
21200,0.154035,,1.00e-04,0.2641
21300,0.138019,,1.00e-04,0.2676
21400,0.138535,,1.00e-04,0.2663
21500,0.134995,,1.00e-04,0.2935
21600,0.130145,,1.00e-04,0.3435
21700,0.110452,,1.00e-04,0.2893
